    INFO: 2025-11-07 06:15:12,616:               log.py:   20: Logging to C:\DataOps\dbt_airflow_project\mdpdf.log
   DEBUG: 2025-11-07 06:15:12,754:      pdf_renderer.py:  470: printSegment: Module 2: Data Warehousing Concepts
   DEBUG: 2025-11-07 06:15:12,754:      pdf_renderer.py:  470: printSegment: OLTP vs OLAP
   DEBUG: 2025-11-07 06:15:12,755:      pdf_renderer.py:  470: printSegment: OLTP (Online Transaction Processing):
   DEBUG: 2025-11-07 06:15:12,756:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,756:      pdf_renderer.py:  470: printSegment: Purpose: Day-to-day operations
   DEBUG: 2025-11-07 06:15:12,757:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,758:      pdf_renderer.py:  470: printSegment: Characteristics:
   DEBUG: 2025-11-07 06:15:12,758:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,759:      pdf_renderer.py:  470: printSegment: High volume of short transactions
   DEBUG: 2025-11-07 06:15:12,759:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,760:      pdf_renderer.py:  470: printSegment: Normalized data structure
   DEBUG: 2025-11-07 06:15:12,760:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,761:      pdf_renderer.py:  470: printSegment: Focus on INSERT, UPDATE, DELETE
   DEBUG: 2025-11-07 06:15:12,761:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,762:      pdf_renderer.py:  470: printSegment: Row-oriented storage
   DEBUG: 2025-11-07 06:15:12,762:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,763:      pdf_renderer.py:  470: printSegment: Optimized for writes
   DEBUG: 2025-11-07 06:15:12,763:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,764:      pdf_renderer.py:  470: printSegment: Examples: E-commerce orders, banking transactions
   DEBUG: 2025-11-07 06:15:12,765:      pdf_renderer.py:  470: printSegment: OLAP (Online Analytical Processing):
   DEBUG: 2025-11-07 06:15:12,765:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,766:      pdf_renderer.py:  470: printSegment: Purpose: Business intelligence and analytics
   DEBUG: 2025-11-07 06:15:12,767:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,767:      pdf_renderer.py:  470: printSegment: Characteristics:
   DEBUG: 2025-11-07 06:15:12,768:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,768:      pdf_renderer.py:  470: printSegment: Complex queries on large datasets
   DEBUG: 2025-11-07 06:15:12,769:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,769:      pdf_renderer.py:  470: printSegment: Denormalized data structure
   DEBUG: 2025-11-07 06:15:12,770:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,771:      pdf_renderer.py:  470: printSegment: Focus on SELECT queries
   DEBUG: 2025-11-07 06:15:12,771:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,772:      pdf_renderer.py:  470: printSegment: Column-oriented storage
   DEBUG: 2025-11-07 06:15:12,773:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,774:      pdf_renderer.py:  470: printSegment: Optimized for reads
   DEBUG: 2025-11-07 06:15:12,775:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,775:      pdf_renderer.py:  470: printSegment: Examples: Sales reports, trend analysis
   DEBUG: 2025-11-07 06:15:12,776:      pdf_renderer.py:  470: printSegment: Data Warehouse Architecture
   DEBUG: 2025-11-07 06:15:12,777:      pdf_renderer.py:  470: printSegment: Traditional 3-Tier Architecture:
   DEBUG: 2025-11-07 06:15:12,777:      pdf_renderer.py:  470: printSegment: ┌─────────────────────────────────────┐
   DEBUG: 2025-11-07 06:15:12,788:      pdf_renderer.py:  470: printSegment: │     Presentation Layer              │
   DEBUG: 2025-11-07 06:15:12,789:      pdf_renderer.py:  470: printSegment: │  (BI Tools, Dashboards, Reports)    │
   DEBUG: 2025-11-07 06:15:12,790:      pdf_renderer.py:  470: printSegment: └──────────────┬──────────────────────┘
   DEBUG: 2025-11-07 06:15:12,800:      pdf_renderer.py:  470: printSegment:                │
   DEBUG: 2025-11-07 06:15:12,801:      pdf_renderer.py:  470: printSegment: ┌──────────────▼──────────────────────┐
   DEBUG: 2025-11-07 06:15:12,813:      pdf_renderer.py:  470: printSegment: │     Application Layer               │
   DEBUG: 2025-11-07 06:15:12,814:      pdf_renderer.py:  470: printSegment: │  (OLAP Server, Analytics Engine)    │
   DEBUG: 2025-11-07 06:15:12,814:      pdf_renderer.py:  470: printSegment: └──────────────┬──────────────────────┘
   DEBUG: 2025-11-07 06:15:12,815:      pdf_renderer.py:  470: printSegment:                │
   DEBUG: 2025-11-07 06:15:12,816:      pdf_renderer.py:  470: printSegment: ┌──────────────▼──────────────────────┐
   DEBUG: 2025-11-07 06:15:12,817:      pdf_renderer.py:  470: printSegment: │     Data Storage Layer              │
   DEBUG: 2025-11-07 06:15:12,817:      pdf_renderer.py:  470: printSegment: │  (Data Warehouse, Data Marts)       │
   DEBUG: 2025-11-07 06:15:12,818:      pdf_renderer.py:  470: printSegment: └─────────────────────────────────────┘
   DEBUG: 2025-11-07 06:15:12,819:      pdf_renderer.py:  470: printSegment: Components:
   DEBUG: 2025-11-07 06:15:12,819:      pdf_renderer.py:  470: printSegment:  1 
   DEBUG: 2025-11-07 06:15:12,820:      pdf_renderer.py:  470: printSegment: Staging Area:
   DEBUG: 2025-11-07 06:15:12,821:      pdf_renderer.py:  470: printSegment:  Raw data landing zone
   DEBUG: 2025-11-07 06:15:12,821:      pdf_renderer.py:  470: printSegment:  2 
   DEBUG: 2025-11-07 06:15:12,822:      pdf_renderer.py:  470: printSegment: Integration Layer:
   DEBUG: 2025-11-07 06:15:12,822:      pdf_renderer.py:  470: printSegment:  Cleaned and conformed data
   DEBUG: 2025-11-07 06:15:12,823:      pdf_renderer.py:  470: printSegment:  3 
   DEBUG: 2025-11-07 06:15:12,823:      pdf_renderer.py:  470: printSegment: Data Marts:
   DEBUG: 2025-11-07 06:15:12,824:      pdf_renderer.py:  470: printSegment:  Subject-specific subsets
   DEBUG: 2025-11-07 06:15:12,824:      pdf_renderer.py:  470: printSegment:  4 
   DEBUG: 2025-11-07 06:15:12,825:      pdf_renderer.py:  470: printSegment: Metadata Repository:
   DEBUG: 2025-11-07 06:15:12,825:      pdf_renderer.py:  470: printSegment:  Data about data
   DEBUG: 2025-11-07 06:15:12,826:      pdf_renderer.py:  470: printSegment: Data Modeling Approaches
   DEBUG: 2025-11-07 06:15:12,827:      pdf_renderer.py:  470: printSegment: 1. Kimball Dimensional Modeling:
   DEBUG: 2025-11-07 06:15:12,827:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,828:      pdf_renderer.py:  470: printSegment: Star schema
   DEBUG: 2025-11-07 06:15:12,828:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,829:      pdf_renderer.py:  470: printSegment: Fact and dimension tables
   DEBUG: 2025-11-07 06:15:12,829:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,830:      pdf_renderer.py:  470: printSegment: Business process oriented
   DEBUG: 2025-11-07 06:15:12,831:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,831:      pdf_renderer.py:  470: printSegment: Bottom-up approach
   DEBUG: 2025-11-07 06:15:12,832:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,832:      pdf_renderer.py:  470: printSegment: Optimized for query performance
   DEBUG: 2025-11-07 06:15:12,833:      pdf_renderer.py:  470: printSegment: 2. Inmon Enterprise Data Warehouse:
   DEBUG: 2025-11-07 06:15:12,833:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,834:      pdf_renderer.py:  470: printSegment: Normalized 3NF structure
   DEBUG: 2025-11-07 06:15:12,835:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,835:      pdf_renderer.py:  470: printSegment: Enterprise-wide integration
   DEBUG: 2025-11-07 06:15:12,836:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,836:      pdf_renderer.py:  470: printSegment: Top-down approach
   DEBUG: 2025-11-07 06:15:12,837:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,838:      pdf_renderer.py:  470: printSegment: Single source of truth
   DEBUG: 2025-11-07 06:15:12,838:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,839:      pdf_renderer.py:  470: printSegment: Data marts derived from EDW
   DEBUG: 2025-11-07 06:15:12,840:      pdf_renderer.py:  470: printSegment: 3. Data Vault:
   DEBUG: 2025-11-07 06:15:12,840:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,841:      pdf_renderer.py:  470: printSegment: Hub, Link, and Satellite tables
   DEBUG: 2025-11-07 06:15:12,842:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,842:      pdf_renderer.py:  470: printSegment: Highly scalable
   DEBUG: 2025-11-07 06:15:12,843:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,843:      pdf_renderer.py:  470: printSegment: Audit trail built-in
   DEBUG: 2025-11-07 06:15:12,844:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,844:      pdf_renderer.py:  470: printSegment: Flexible for changes
   DEBUG: 2025-11-07 06:15:12,845:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,846:      pdf_renderer.py:  470: printSegment: Complex to query
   DEBUG: 2025-11-07 06:15:12,846:      pdf_renderer.py:  470: printSegment: 4. One Big Table (OBT):
   DEBUG: 2025-11-07 06:15:12,847:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,847:      pdf_renderer.py:  470: printSegment: Denormalized wide table
   DEBUG: 2025-11-07 06:15:12,848:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,849:      pdf_renderer.py:  470: printSegment: Simple to query
   DEBUG: 2025-11-07 06:15:12,849:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,850:      pdf_renderer.py:  470: printSegment: Modern cloud warehouses
   DEBUG: 2025-11-07 06:15:12,850:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,851:      pdf_renderer.py:  470: printSegment: Trade storage for simplicity
   DEBUG: 2025-11-07 06:15:12,852:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,853:      pdf_renderer.py:  470: printSegment: Good for specific use cases
   DEBUG: 2025-11-07 06:15:12,853:      pdf_renderer.py:  470: printSegment: Star Schema Deep Dive
   DEBUG: 2025-11-07 06:15:12,854:      pdf_renderer.py:  470: printSegment: Structure:
   DEBUG: 2025-11-07 06:15:12,855:      pdf_renderer.py:  470: printSegment:         ┌──────────────┐
   DEBUG: 2025-11-07 06:15:12,855:      pdf_renderer.py:  470: printSegment:         │   Dim_Date   │
   DEBUG: 2025-11-07 06:15:12,856:      pdf_renderer.py:  470: printSegment:         └──────┬───────┘
   DEBUG: 2025-11-07 06:15:12,857:      pdf_renderer.py:  470: printSegment:                │
   DEBUG: 2025-11-07 06:15:12,857:      pdf_renderer.py:  470: printSegment: ┌──────────┐  │  ┌──────────────┐
   DEBUG: 2025-11-07 06:15:12,858:      pdf_renderer.py:  470: printSegment: │Dim_Product├──┼──┤  Fact_Sales  │
   DEBUG: 2025-11-07 06:15:12,859:      pdf_renderer.py:  470: printSegment: └──────────┘  │  └──────┬───────┘
   DEBUG: 2025-11-07 06:15:12,860:      pdf_renderer.py:  470: printSegment:               │         │
   DEBUG: 2025-11-07 06:15:12,860:      pdf_renderer.py:  470: printSegment:         ┌─────┴────┐    │
   DEBUG: 2025-11-07 06:15:12,861:      pdf_renderer.py:  470: printSegment:         │Dim_Customer├───┘
   DEBUG: 2025-11-07 06:15:12,862:      pdf_renderer.py:  470: printSegment:         └──────────┘
   DEBUG: 2025-11-07 06:15:12,862:      pdf_renderer.py:  470: printSegment: Fact Table:
   DEBUG: 2025-11-07 06:15:12,863:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,863:      pdf_renderer.py:  470: printSegment: Contains measurements/metrics
   DEBUG: 2025-11-07 06:15:12,864:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,865:      pdf_renderer.py:  470: printSegment: Foreign keys to dimensions
   DEBUG: 2025-11-07 06:15:12,865:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,866:      pdf_renderer.py:  470: printSegment: Additive, semi-additive, or non-additive facts
   DEBUG: 2025-11-07 06:15:12,866:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,867:      pdf_renderer.py:  470: printSegment: Grain: Level of detail
   DEBUG: 2025-11-07 06:15:12,867:      pdf_renderer.py:  470: printSegment: Dimension Tables:
   DEBUG: 2025-11-07 06:15:12,868:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,868:      pdf_renderer.py:  470: printSegment: Descriptive attributes
   DEBUG: 2025-11-07 06:15:12,869:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,870:      pdf_renderer.py:  470: printSegment: Slowly Changing Dimensions (SCD)
   DEBUG: 2025-11-07 06:15:12,870:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,871:      pdf_renderer.py:  470: printSegment: Hierarchies (Year → Quarter → Month → Day)
   DEBUG: 2025-11-07 06:15:12,884:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,884:      pdf_renderer.py:  470: printSegment: Denormalized for query performance
   DEBUG: 2025-11-07 06:15:12,885:      pdf_renderer.py:  470: printSegment: Benefits:
   DEBUG: 2025-11-07 06:15:12,886:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,886:      pdf_renderer.py:  470: printSegment: Simple to understand
   DEBUG: 2025-11-07 06:15:12,887:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,887:      pdf_renderer.py:  470: printSegment: Fast query performance
   DEBUG: 2025-11-07 06:15:12,888:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,889:      pdf_renderer.py:  470: printSegment: Flexible for BI tools
   DEBUG: 2025-11-07 06:15:12,889:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-07 06:15:12,890:      pdf_renderer.py:  470: printSegment: Intuitive for business users
   DEBUG: 2025-11-07 06:15:12,891:      pdf_renderer.py:  470: printSegment: Module 3: ETL vs ELT Paradigm
   DEBUG: 2025-11-07 06:15:12,892:      pdf_renderer.py:  470: printSegment: Traditional ETL (Extract, Transform, Load)
